DateTime,OPEN,HIGH,LOW,CLOSE,VOLUME,VOLUME_AHT,AMOUNT_AHT,AMT,CHG,PCT_CHG,SWING,VWAP
2011-01-04,3155.557,3194.358,3143.604,3189.682,8541044000,NaN,NaN,1.29E+11,61.421,1.963423,1.622435,15.122229
2011-01-05,3170.181,3193.779,3158.871,3175.662,7926881000,NaN,NaN,1.17E+11,-14.02,-0.439542,1.094404,14.75274
2011-01-06,3177.835,3198.052,3152.572,3159.643,5968109200,NaN,NaN,91568447016,-16.019,-0.50443,1.432142,15.342958
2011-01-07,3156.362,3209.9,3141.125,3166.624,8409323300,NaN,NaN,1.14E+11,6.981,0.220943,2.17667,13.51491
2011-01-10,3162.085,3182.782,3102.428,3108.187,6549440600,NaN,NaN,87992881712,-58.437,-1.845404,2.537529,13.435175
2011-01-11,3096.249,3131.292,3084.513,3124.922,5698591700,NaN,NaN,74832449402,16.735,0.538417,1.505025,13.131744
2011-01-12,3135.18,3153.43,3099.413,3142.337,5849851800,NaN,NaN,71551421416,17.415,0.557294,1.728587,12.231322
2011-01-13,3153.985,3157.036,3127.158,3141.284,5193698800,NaN,NaN,66925783701,-1.053,-0.03351,0.950821,12.885958
2011-01-14,3129.667,3129.667,3083.511,3091.862,5335143900,NaN,NaN,71012100141,-49.422,-1.573306,1.469335,13.31025
2011-01-17,3067.433,3078.88,2968.61,2974.35,6680756200,NaN,NaN,85454121099,-117.512,-3.800687,3.566459,12.791085
2011-01-18,2965.424,2984.47,2947.6,2977.648,4296456400,NaN,NaN,54652416480,3.298,0.110881,1.239599,12.720347
2011-01-19,2978.457,3045.605,2967.243,3044.851,5657194200,NaN,NaN,72772226927,67.203,2.256916,2.631674,12.863661
2011-01-20,3037.862,3037.862,2944.498,2944.713,6104664300,NaN,NaN,76440116738,-100.138,-3.288765,3.066291,12.521592
2011-01-21,2935.233,3030.265,2935.138,2983.456,7310296600,NaN,NaN,85157790710,38.743,1.31568,3.230434,11.64902
2011-01-24,2986.092,2999.201,2943.92,2954.232,6547254500,NaN,NaN,75805236102,-29.224,-0.979535,1.852918,11.578172
2011-01-25,2949.647,2960.587,2919.162,2938.654,4898268900,NaN,NaN,57572819537,-15.578,-0.527311,1.402226,11.753707
2011-01-26,2939.773,2982.322,2939.356,2978.431,4337497900,NaN,NaN,51746038070,39.777,1.353579,1.462098,11.929928
2011-01-27,2953.589,3037.159,2935.271,3026.466,8258591900,NaN,NaN,96976029913,48.035,1.612762,3.420862,11.742441
2011-01-28,3020.122,3047.266,3011.375,3036.735,6301358900,NaN,NaN,78241917729,10.269,0.339307,1.185905,12.416674
2011-01-31,3035.418,3076.547,3032.449,3076.508,6710591400,NaN,NaN,83070309373,39.773,1.309729,1.452152,12.378985
2011-02-01,3083.493,3087.225,3062.83,3077.283,4986253000,NaN,NaN,65832698489,0.775,0.025191,0.792944,13.20284
2011-02-09,3055.398,3087.551,3031.749,3040.949,6039414500,NaN,NaN,78148356164,-36.334,-1.180717,1.813353,12.939724
2011-02-10,3034.079,3105.324,3024.349,3104.163,6660366200,NaN,NaN,86967273678,63.214,2.078759,2.66282,13.057431
2011-02-11,3100.274,3133.499,3092.582,3120.956,7597555300,NaN,NaN,99001500830,16.793,0.540983,1.318133,13.030705
2011-02-14,3123.246,3227.432,3123.246,3219.143,12130233100,NaN,NaN,1.56E+11,98.187,3.146055,3.338272,12.846363
2011-02-15,3223.222,3259.639,3215.619,3217.671,10955443800,NaN,NaN,1.48E+11,-1.472,-0.045726,1.367445,13.486193
2011-02-16,3211.135,3248.849,3195.467,3248.527,9133428300,NaN,NaN,1.26E+11,30.856,0.958954,1.659026,13.746163
2011-02-17,3255.626,3265.257,3218.913,3245.907,8896469500,NaN,NaN,1.28E+11,-2.62,-0.080652,1.426616,14.338235
2011-02-18,3240.051,3242.374,3203.12,3211.876,7537868400,NaN,NaN,1.05E+11,-34.031,-1.048428,1.209338,13.895622
2011-02-21,3192.146,3258.28,3189.848,3257.908,7939977600,NaN,NaN,1.08E+11,46.032,1.433181,2.130593,13.609092
2011-02-22,3267.615,3269.048,3161.833,3163.578,10786374100,NaN,NaN,1.48E+11,-94.33,-2.895416,3.290916,13.682875
2011-02-23,3152.441,3182.185,3145.986,3174.742,7132485400,NaN,NaN,97251422739,11.164,0.352892,1.144242,13.634998
2011-02-24,3170.236,3195.688,3157.969,3190.935,6648689300,NaN,NaN,94908281477,16.193,0.510057,1.188097,14.274736
2011-02-25,3190.872,3213.792,3159.847,3197.617,6161927500,NaN,NaN,88275899352,6.682,0.209406,1.69057,14.32602
2011-02-28,3200.677,3241.597,3178.831,3239.559,7663066300,NaN,NaN,1.09E+11,41.942,1.311664,1.962899,14.256691
2011-03-01,3241.714,3273.511,3235.754,3254.893,8856695400,NaN,NaN,1.24E+11,15.334,0.473336,1.165498,14.005309
2011-03-02,3237.116,3257.419,3202.833,3243.298,8091064100,NaN,NaN,1.14E+11,-11.595,-0.356233,1.677044,14.039193
2011-03-03,3248.156,3271.64,3221.038,3221.718,10121999700,NaN,NaN,1.31E+11,-21.58,-0.665372,1.560202,12.963624
2011-03-04,3223.507,3273.658,3217.477,3270.666,8001391500,NaN,NaN,1.07E+11,48.948,1.519314,1.743821,13.422892
2011-03-07,3287.405,3337.466,3287.405,3334.51,11818719700,NaN,NaN,1.70E+11,63.844,1.952018,1.530606,14.418378
2011-03-08,3335.71,3342.711,3311.722,3337.457,8487865500,NaN,NaN,1.26E+11,2.947,0.088379,0.929342,14.880811
2011-03-09,3344.1,3355.487,3322.698,3338.858,7802636100,NaN,NaN,1.14E+11,1.401,0.041978,0.982455,14.550735
2011-03-10,3330.444,3330.444,3279.33,3280.259,7821264200,NaN,NaN,1.18E+11,-58.599,-1.755061,1.530883,15.081019
2011-03-11,3263.081,3290.7,3240.181,3247.376,6720833500,NaN,NaN,1.00E+11,-32.883,-1.002451,1.540092,14.924648
2011-03-14,3238.905,3263.906,3230.114,3262.92,6368978300,NaN,NaN,94134688007,15.544,0.478663,1.040594,14.780187
2011-03-15,3250.595,3250.595,3147.957,3203.961,9603397900,NaN,NaN,1.30E+11,-58.959,-1.80694,3.145587,13.495569
2011-03-16,3204.919,3250.878,3202.931,3248.195,7885952000,NaN,NaN,1.12E+11,44.234,1.380604,1.496491,14.180418
2011-03-17,3216.288,3240.381,3185.084,3197.1,8568711400,NaN,NaN,1.17E+11,-51.095,-1.573027,1.702392,13.688841
2011-03-18,3228.915,3239.963,3205.144,3215.685,6134016100,NaN,NaN,86845200065,18.585,0.581308,1.089081,14.157967
2011-03-21,3220.677,3236.279,3194.145,3207.11,5910503700,NaN,NaN,84105739105,-8.575,-0.266662,1.310265,14.229877
2011-03-22,3217.8,3227.797,3175.93,3222.961,5724868400,NaN,NaN,80009792794,15.851,0.494246,1.61725,13.975831
2011-03-23,3222.325,3267.004,3216.653,3264.926,7207758500,NaN,NaN,98540423659,41.965,1.302064,1.562259,13.671438
2011-03-24,3269.575,3273.37,3250.023,3251.361,6130424400,NaN,NaN,88058905863,-13.565,-0.415476,0.715085,14.364243
2011-03-25,3256.179,3304.264,3254.683,3294.484,8689597900,NaN,NaN,1.22E+11,43.123,1.326306,1.524931,14.042234
2011-03-28,3307.405,3328.07,3286.856,3290.571,9768430000,NaN,NaN,1.39E+11,-3.913,-0.118774,1.251,14.232592
2011-03-29,3288.564,3309.199,3256.337,3257.979,10528016400,NaN,NaN,1.33E+11,-32.592,-0.990466,1.606469,12.624228
2011-03-30,3256.722,3274.977,3233.109,3256.08,7833633700,NaN,NaN,1.03E+11,-1.899,-0.058288,1.285091,13.183145
2011-03-31,3257.164,3264.956,3210.174,3223.288,6450388000,NaN,NaN,86565372662,-32.792,-1.007101,1.682453,13.420181
2011-04-01,3227.564,3272.768,3220.911,3272.729,6309472200,NaN,NaN,86711549873,49.441,1.533869,1.608823,13.743075
2011-04-06,3269.19,3315.299,3268.765,3311.067,10582367400,NaN,NaN,1.43E+11,38.338,1.171438,1.421871,13.515888
2011-04-07,3313.467,3330.805,3302.818,3324.419,8468176200,NaN,NaN,1.13E+11,13.352,0.403254,0.845256,13.306122
2011-04-08,3321.54,3353.889,3314.089,3353.358,7392921000,NaN,NaN,1.07E+11,28.939,0.870498,1.197202,14.51785
2011-04-11,3363.37,3380.527,3331.174,3333.427,10442054500,NaN,NaN,1.42E+11,-19.931,-0.594359,1.471749,13.596403
2011-04-12,3324.754,3350.156,3307.476,3326.771,10193850600,NaN,NaN,1.23E+11,-6.656,-0.199674,1.280364,12.052713
2011-04-13,3311.324,3372.031,3296.507,3372.031,8703633800,NaN,NaN,1.08E+11,45.26,1.360478,2.270189,12.44368
2011-04-14,3374.324,3378.703,3347.488,3353.56,8897224100,NaN,NaN,1.07E+11,-18.471,-0.547771,0.925703,12.081434
2011-04-15,3345.134,3378.106,3323.563,3358.944,7851487400,NaN,NaN,98934572633,5.384,0.160546,1.626421,12.600743
2011-04-18,3346.149,3372.9,3335.599,3359.438,8658262400,NaN,NaN,1.07E+11,0.494,0.014707,1.110498,12.378723
2011-04-19,3334.912,3334.912,3290.736,3295.812,8510693300,NaN,NaN,1.04E+11,-63.626,-1.893948,1.314982,12.263276
2011-04-20,3300.418,3311.725,3281.827,3295.758,7234331800,NaN,NaN,93667138370,-0.054,-0.001638,0.907151,12.947587
2011-04-21,3312.271,3330.244,3301.936,3317.367,7324042400,NaN,NaN,96739132646,21.609,0.655661,0.858922,13.208434
2011-04-22,3317.083,3325.459,3291.638,3299.942,6717145500,NaN,NaN,83528333290,-17.425,-0.525266,1.019513,12.435094
2011-04-25,3292.48,3292.48,3247.691,3249.574,7442182900,NaN,NaN,98455879623,-50.368,-1.52633,1.357266,13.229436
2011-04-26,3242.529,3257.8,3216.21,3230.96,5909641700,NaN,NaN,76696858373,-18.614,-0.572814,1.27986,12.978259
2011-04-27,3242.619,3256.413,3189.04,3209.503,6244356700,NaN,NaN,75111247063,-21.457,-0.664106,2.085232,12.028661
2011-04-28,3224.413,3237.192,3160.406,3161.776,6505023500,NaN,NaN,79155830155,-47.727,-1.487053,2.392458,12.168416
2011-04-29,3161.158,3193.599,3147.137,3192.723,5368306500,NaN,NaN,63455814284,30.947,0.978785,1.469491,11.820453
2011-05-03,3192.845,3212.055,3164.926,3211.132,5499891000,NaN,NaN,64348987555,18.409,0.576592,1.476138,11.700048
